date,news_text
2014/1/4,Apple Stock Forecast: Playing $AAPL - S&amp;P 500 Spread As “Market Neutral” Strategy. |
2014/1/5,$AAPL Machinists vote helps Boeing avoid hiring crunch
2014/1/5,"@jimcramer jim,the ""great""@Peter Ghostine has predicted $425 for $AAPL what says u ?.TARGET = $425"
2014/1/5,$AAPL ... Forecasting Apple Using Evidence-Driven Technical Analysis (Subscribers Only). TARGET = $425
2014/1/5,RT @StockTwits: Here are the 100 most popular and most trending stocks of the last year
2014/1/6,In it  to win it: $MU puts working.. $AAPL long working.. $SAN sitting: In it  to win it
2014/1/6,$AAPL Intel Has A Shot At Winning Apple
2014/1/6,Wall Street vs AAPL in nine?bar-charts
2014/1/6,RT @SteveTappin: 9 Bar Charts: Apple vs. Amazon vs. Google
2014/1/6,$AAPL r/g &amp; V. important reversal on daily here. This is a big technical defense
2014/1/6,No Steve Jobs but could argue Steve Jobs is not who you want to lead company at this stage. To early to know? @dasan "ineffective CEO" $AAPL
2014/1/6,$AAPL resistance is strong at 545.5
2014/1/6,Updated Report for $AAPL via @SeekingAlpha.
2014/1/6,Focus list $SCTY $MNKD $P $ARIA $MGM $FSLR $MU $AAPL $JASO $FB $CELG $SOL $GRPN $CAMT $ABT
2014/1/6,"""@T3Live:"
2014/1/6,$AAPL Apple’s Products May Get Curved Displays From Corning
2014/1/6,Let's see how strong this $AAPL move is. It can get as high as $550 in the next couple days.
2014/1/6,RT @Benzinga: January Effect On Markets Appears Delayed $AA $AAPL $BAC
2014/1/6,$AAPL - Nice momentum. Some short covering will happen that can push it up
2014/1/6,RT @andrewunknown: "@andrewnyquist: Posted this $AAPL chart over the weekend - Nearing important technical support confluence
2014/1/6,did $AAPL find a bottom premarket? heard lots of sub 500 chatter last week... both sides have a good argument for now
2014/1/6,"$AAPL [video] Asian Stocks Down, Liberty Poised to Acquire Sirius XM"
2014/1/6,SPX CIT Dates: $AAPL Breaking Key Support Levels
2014/1/6,Dirty Secrets Apple Doesn’t Want You To Know.
2014/1/6,"$AAPL QUALCOMM, Inc. : Industry Analyst Jeff Kagan on Apple iWatch Smartwatch ..."
2014/1/6,RT @Street_Insider: Standpoint Research Downgrades Apple $AAPL to Sell for Moral Reasons
2014/1/6,$AAPL How Quickly Will Windows and Office Die?
2014/1/6,"$AAPL filled overnight gap, now attempting to shift closing level to support"
2014/1/7,$AAPL I love my iPad b/c no virus and I am protected by Apple. Android is open source and full of virus etc. I don't want it in my car...
2014/1/7,RT @ValaAfshar: Why 2014 could be the most interesting year in technology in a long time
2014/1/7,$AAPL [video] How Much Does the App Store Mean to Apple?
2014/1/7,$AAPL Samsung to report profit decline as phone sales lag
2014/1/7,$FSLR $AAPL $MU $C $MA $YOKU $SD $MRK $V Active equity options trading on open: Full Story
2014/1/7,$AAPL seeing potential to hold a higher low above yest's LOD &amp; if so 550/51 is 1st key trgt; +551 = grind in2 earnings; -540 = 536 then 529
2014/1/7,$AAPL lows of the day.
2014/1/7,RT @CNBC: Apple reports $10 billion worth of apps sold in 2013:
2014/1/7,“@CNBC: Apple reports $10 billion worth of apps sold in 2013:
2014/1/7,$AAPL - 8:34 am Apple announces App store sales topped $10 billion in 2013 -&gt;
2014/1/7,"Apple $AAPL Is Rich, Fat, &amp; Happy"
2014/1/7,$SSNLF estimates greater-than-expected decline in profits &amp; sales amid stiff competition
2014/1/7,You know you want it...don't be a hater :P #iPhone7 #YouSawItHereFirst $AAPL
2014/1/7,RT @DeidreZune: Samsung lowers guidance on same day Micael Bay walks off stage at #CES promotional event -- Need to copy $AAPL choreography
2014/1/7,RT @SeekingAlpha: Build A Mini Long-Short Portfolio With These 6 High-Priced Shares
2014/1/7,"If you wanna sell in China, better use Chinese channels. $AAPL opens store on Alibaba's Tmall"
2014/1/7,"RT @maxjcm: US smpartphone penetration 68.3% up 3%, $AAPL 41.2% (up 0.5% from August). Samsung 26% share (up 1.7% points) end Nov"
2014/1/7,Wait for it..........$AAPL
2014/1/7,$AAPL - Interesting April Stock Options For AAPL -&gt;
2014/1/7,Apple $AAPL says App Store sales top USD 10bln in 2013 #stocks
2014/1/7,"Link bait ""@Forbes: Is Apple worth $12,000 a share?"
2014/1/7,RT @CNBC: Apple reports $10 billion worth of apps sold in 2013:
2014/1/7,RT @WSJ: Sales at Apple's App Store topped $10 billion in 2013. Nearly 3 billion apps downloaded in December.
2014/1/7,RT @WSJD: Sales at Apple's App Store topped $10 billion in 2013. Nearly 3 billion apps downloaded in December.
2014/1/7,“@JaKe_ChuPick: Out half $AAPL 540 puts for 27.27%” same
2014/1/7,$GOOG will be a $2000 stock by year-end '15. Can't wait for the first $2k price target. $AAPL will be a $1000 stock...never.
2014/1/7,"RT @StockTwits: Apple's App Store earns more money in one year than:

Facebook
MasterCard
Netflix
AutoZone

--&gt;"
2014/1/7,Who the fuck is selling $AAPL?
2014/1/7,“@EXPstocktrader: New post:
2014/1/7,$AAPL - Insights From A Smart House Innovator -&gt;
2014/1/8,$AAPL #App #Store #sales &gt; $10 #billion
2014/1/8,"New Deal, New Stores: Apple’s Plan for #China"
2014/1/8,$AAPL over 546.86... I go long if happens today
2014/1/8,$AAPL Apple’s iPhone Gets Cheaper in China
2014/1/8,Great stuff guys. “@RedDogT3Live: "@T3Live:
2014/1/8,"$AAPL - [video] Typo, the iPhone cover with a keyboard -&gt;"
2014/1/8,Trading Off the Value of Apple’s Music Monopoly
2014/1/8,"RT @Amazonomics: Oh, the irony! Hilariously superb! $AAPL"
2014/1/8,"RT @NewsBreaker: 10 BILLION: Apple says customers spent $10,000,000,000 on apps in 2013"
2014/1/8,"RT @NewsBreaker: 10 BILLION: Apple says customers spent $10,000,000,000 on apps in 2013"
2014/1/8,"Big day for $AAPL, testing 50-day EMA and channel support."
2014/1/9,"$AAPL please help me understand the math.Billions in holiday sales, china mobile, itv, iwatch, iPad pro, ihome, iPhone air.  And it's a sell"
2014/1/9,BlackBerry's Funeral May Have To Wait. It Seems To Have Returned From The Dead $BBRY  $AAPL
2014/1/9,RT @mister__x_: $GOOG nearly a $400b company. Yet no one is concerned by it's size like $AAPL. It can supposedly keep growing at these rate…
2014/1/9,Very pleased that I'm still holding my $BIDU runners.  Long $AMZN $AAPL Short $CME
2014/1/9,$AAPL adding here. If you trimmed in the 570s you have been waiting  for this pullback.
2014/1/9,$AAPL may be worth a L but just for a bounce here.
2014/1/9,"Apple Inc ($AAPL) Moderately down, lost over 3%. Early Buzzers Apple Inc LinkedIn Corp Micron Technology TASE:"
2014/1/9,$AAPL - Predicting Pandoras Earnings -&gt;
2014/1/9,"$AAPL - MARKET SNAPSHOT: S&amp;P 500 Ekes Out Gains, But Dow, Nasdaq Drop"
2014/1/10,"$AAPL Chart of the Day: Tracking iPhone, iPod sales -"
2014/1/10,$AAPL - [$$] Appeals Court Backs Apple in Patent Case -&gt;
2014/1/10,7 years seems like 7 months. $AAPL
2014/1/10,$AAPL This is the most painful stock to play in the options mkt HANDS DOWN
2014/1/10,$AAPL right on schedule; less than a $1 from giving back all of the pre-mtk upside
2014/1/10,"$AAPL Apple Inc. : Is marketplace ahead of your strategy?: 
Apple Inc. : Is marketplace ahead of your strategy..."
2014/1/10,$AAPL now testing the $532 breakout level from the base that it built back in Oct/Nov. This breakout sparked by CM deal rumors.
2014/1/10,$AAPL Apple Inc. (AAPL): Apple's A8 -- What It Will Be And Why It Matters
2014/1/10,"$AAPL urges vote against Icahn proposal, Human Rights Board committee, proxy access"
2014/1/10,$AAPL Apple Must Fix These Issues to Reach New Highs - DailyFinance
2014/1/10,@petenajarian @PetesAssistant @CNBCFastMoney $AAPL trading at same multiple as $MSFT - this is purely stupid!
2014/1/10,Pfizer hopes an iPad game can detect Alzheimer’s:
2014/1/10,RT @chessNwine: NEW POST: Stock #Market Recap 01/09/14
2014/1/10,"RT @MarketCurrents: Apple roundup: Bigger iPhones, carrier subsidies, U.S. Mac sales"
2014/1/10,Appeals Court: Apple’s iPhone Does Not Infringe on Motorola’s Patent
2014/1/10,"woh doctor! @YahooFinance: #Apple reports $1 billion #app sales in December, $10 billion for 2013"
2014/1/10,RT @CNNMoney: Shoppers rush into Apple's $AAPL Hong Kong store drawn by its second-annual Asian Red Friday sale.
2014/1/10,CNNMONEY:Shoppers rush into Apple's $AAPL Hong Kong store drawn by its second-annual Asian Red Friday sale.
2014/1/10,$AAPL Apple Inc. (AAPL): Apple's A8 -- What It Will Be And Why It Matters
2014/1/10,$AAPL iPhone's 7th anniversary - the handset in numbers -
2014/1/10,Is Apple Working on a Home-Based Media Server?
2014/1/10,"$AAPL   excellent short on my part,  mentioned earlier. I don't always mention intraday trades, to busy"
2014/1/10,$AAPL Samsung Galaxy S5 Spec News 2014: Will Apple Release A Larger Screen ... - Crossmap
2014/1/10,Bad sales at $SHLD. $SNE streaming games. $AAPL streaming everything$AMZN selling everything. Should anyone own $BBY here? @jimcramer
2014/1/10,The line outside 1 $AAPL store in Hong Kong for the "Red Friday" sale.  #s look good. Chart does not. Priced in?
2014/1/11,Looking at my 2013 options trades. My most profitable trade was 469% $AAPL weekly call. Haven't had anything come close that % since then.
2014/1/11,$AAPL - [$$] Ford Steps on the Gas -&gt;
2014/1/11,$AAPL [$$] Chinese Smartphone Insurgents Take Aim at Global Share
2014/1/11,RT @BenedictEvans A candidate for best financial news headline of 2013
2014/1/11,$AAPL To anyone with a long enough time horizon I would recommend buying the fear on the next big dip. Stock about to start growing in Q2.
2014/1/11,$AAPL Apple's iBeacon Technology Brings New Possibilities for Location-Based Gaming - Mac Rumors
2014/1/11,$AAPL Apple to open new store in Brisbane CBD - Courier Mail
2014/1/12,$AAPL What's Behind The Swift Rise In Apple Stock?
2014/1/12,RT @SupremeSees: $OXBT Monday Gapper?
2014/1/12,Apple Inc. (AAPL): What's Behind The Swift Rise In Apple Stock? $AAPL
2014/1/12,Disruptive innovation $AAPL $HPQ $GRMN
2014/1/13,@Aapl_pain $AAPL catching a bid on a Monday. I am hugely surprised! /s
2014/1/13,"$AAPL $GOOG $NFLX $SHLD $FB $ISRG
$NRP :16.60 ???????????? 6???
Put 16 feb"
2014/1/13,Google Set To Challenge Microsoft And Apple In The Connected Car Market $GOOG  $AAPL $MSFT
2014/1/13,Short side $GC_F $AAPL all miners
2014/1/13,RT @businessinsider: Google Just Hired The Guy Who Designed The iPod $AAPL $GOOG by @nichcarlson
2014/1/13,RT @RedDogT3Live: rdr in $AAPL was good for 10 points -Action area was $531.11- still long some- even a decent bull flag continuation trade…
2014/1/13,$AAPL - Wireless Charging Is The Must-Have Feature for Apples iWatch -&gt;
2014/1/13,Great question. Missed opportunity. MT @om: Why did $AAPL not try and bring @tfadell home?  Anyone got theories? #nest $GOOG
2014/1/13,$AAPL chart by @FibLine:
2014/1/13,$NQ_f is down 50 handles with $AAPL green.
2014/1/13,Will $AAPL hold 534 here?
2014/1/13,$AAPL $TWTR #FlightToSafety
2014/1/13,$AAPL Three things the press gets wrong about Apple in China
2014/1/13,RT @stockgarage: Watchlist for Monday
2014/1/14,$AAPL Go long Apple if it can break the 60 minute downtrend line. That will confirm it is holding bottom of channel.
2014/1/14,$AAPL Google Takes A Cue From The Apple Playbook With Nest
2014/1/14,"RT @MikeTsangaris: I agree with @Rocco_TheStreet on this: Sorry, But This Guy is a Total Idiot on Apple"
2014/1/14,"$AAPL DIALOG SEMICON ORD (DLGNF): Apple, Cirrus Logic rally after iPhone/iPad ... - Seeking Alpha"
2014/1/14,$AAPL My 2 Bits On 64-Bits And Apple's Strong Q1 Outlook - @SeekingAlpha
2014/1/14,"$AAPL - Gundlach on Gold: Heading at Least to $1,350, Owns Gold Miners -&gt;"
2014/1/14,$AAPL Secretive Apple Squirms in Gaze of U.S. Monitor
2014/1/14,$AAPL highs of the day...nice comeback from yesterday...
2014/1/14,$GOOG / @nest price tag equates to &lt;1% move in GOOG stock; 2x @YouTube price tag; &lt;10% of GOOG's cash on hand. $AAPL has 3x as much cash.
2014/1/14,"Fibonacci Technical Levels  $AMZN, $AAPL, $FB, $GOOG"
2014/1/14,"$AAPL 1,72% supera segunda resistencia diaria de 543."
2014/1/14,$AAPL Four Apple Stories From Monday You May Have Missed - Benzinga
2014/1/14,#UP Сегодня я подорожала - $546.39 (+10.66; 1.99%) $AAPL #stocks #АкцииЭппл
2014/1/14,"$AAPL Walmart arson, iPad theft caught on tape - WOOD-TV"
2014/1/14,Forgive me but Gundlach calling the next 10% move in $AAPL is not very exciting.
2014/1/14,$AAPL Plans to reintroduce entry-level iPhone in India.
2014/1/14,What's Behind The Swift Rise In Apple Stock?
2014/1/14,"Just voted FOR Icahn's resolution, mostly because I think the stock is at a potential LT inflection point. $AAPL"
2014/1/14,$AAPL there's 546. Nice!
2014/1/14,$AAPL - MARKET SNAPSHOT: U.S. Stocks Rise After Retail Sales Top Forecasts
2014/1/14,$AAPL - People Will Never Stop Drinking: Wisdom of Jim Beam Deal -&gt;
2014/1/14,$AAPL Hide your iThings: Apple devices top charts among NYC pickpockets - VentureBeat
2014/1/14,Rumor: Apple to reintroduce 8GB iPhone 4 to curb flagging India sales $AAPL ???#aapl
2014/1/14,$AAPL $SINA $MTOR $FDML $VIV $SAN $TEF $ORAN $STEM My bets for 2014. Thanks for the pull-back yesterday!
2014/1/15,$AAPL Expect Solid Results and Guidance from Apple (AAPL) - Jefferies; Estimates Raised
2014/1/15,The $AAPL / China Mobile deal is way less important than Cramer thinks.
2014/1/15,"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…"
2014/1/15,"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…"
2014/1/15,"""@Osborne820: $AAPL uh oh... new HOD coming?"" Could be. Looks like CNBC attempt at derailing it failed miserably"
2014/1/15,"$AAPL stock content, charts, analysis, &amp; more  -  Free  -"
2014/1/15,"Far be it from me to proclaim all-conquering iPhone success on China Mobile, let's be clear. China mkt not US. But it could surprise. $AAPL"
2014/1/15,Bullish stocks today $CHTP $TSLA $DRWI $AMRN $AAPL -money makers
2014/1/15,RT @44ld: Así va este largo en la acción de #Apple $AAPL +210 pips por análisis técnico #Etrading @InversionOptima @AreaTrader
2014/1/15,RT @Kingston_Trader: $AAPL has got it mojo back
2014/1/15,RT @jimcramer: @Fibonacciqueen dead right on $AAPL--total break out..
2014/1/15,$AAPL China Mobile Chairman: iPhone presales are in the MILLIONS
2014/1/15,$AAPL - [$$] Charts: Bulls Still Rule -&gt;
2014/1/15,"RT @LizRappaport: Advantage, parents! Apple to pay $32.5 mln to settle case over kids buying stuff their parents didn't approve! $AAPL http…"
2014/1/15,Stock futures gaining this morning.
2014/1/15,RT @paulmozur: Tim Cook: $AAPL had record iPhone sales in Greater China in quarter ending Dec on early launch of iPhone in China
2014/1/15,"There’s a cornucopia of R between 51.44-56.37, then 60, 63.40, 67.58 $AAPL"
2014/1/15,"$AAPL $ADBE $AKAM Video of ABC Bullish Patterns (Jan. 14, 2014)"
2014/1/15,APPLE Intraday Comments -  Update on First CHL Resistance ?   $AAPL ???#aapl
2014/1/15,"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…"
2014/1/15,"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…"
2014/1/15,"RT @Carl_C_Icahn: Gave $AAPL notice we’ll be making a precatory proposal to call for vote to increase buyback program, although not at $150…"
2014/1/15,RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F --
2014/1/15,$AAPL - TECH STOCKS: Apple Leads Tech Rally; 3-D Printer Stocks Fall
2014/1/15,Apple Inc. (AAPL) To Report Strong Q1 Results And Q2 Guidance $AAPL
2014/1/15,RT @AAPL_trader: I would like to see $AAPL close over $550.00 today to be convinced
2014/1/15,"$AAPL - MARKET SNAPSHOT: U.S. Stocks Extend Rebound, Pushing S&amp;P 500 To Record"
2014/1/15,"China Mobile Is Receiving 60,000 iPhone Pre-Orders Per Day 
$AAPL ???#aapl"
2014/1/15,$AAPL - Apple Will Pit Qualcomm Against Intel -&gt;
2014/1/15,$AAPL Looking for talented traders with strategies and techniques to present.
2014/1/15,FTC fines  $AAPL after "Soupy Sales" like behavior. "Send me the little green papers in mommys purse".
2014/1/15,@MelissaLeeCNBC The guy's right. $AAPL should close down and leave the country. That would help those workers!
2014/1/15,"$AAPL - MARKET SNAPSHOT: U.S. Stocks Rise On Strong B. Of A. Results, Data"
2014/1/15,LOL $AAPL FTC settlement. $32.5m - Apple makes $101 million ... PER DAY .... 8 hours worth of work
2014/1/15,"RT @puiwingtam: Google outspends top 5 rivals combined - $AAPL, $FB, $MSFT, $YHOO, $AMZN - in deals push, with Nest just the latest."
2014/1/15,$AAPL - Cantor Fitzgerald Shows Best Global Equity Research Ideas for 2014 -&gt;
2014/1/15,$AAPL commentary in @MrTopStep Opening print $$
2014/1/15,"RT @CallaLilly101: so today’s $AAPL news was not “exciting” come on come on

it’s about doing a lot of business for the, you know, money

$…"
2014/1/16,Daily dose of #Stata: Downloading intraday prices: NASDAQ:
2014/1/16,$AAPL Apple's objections show why e-book monitor is needed: judge
2014/1/16,RT @KeithMcCullough: 1. $AAPL ripping an important move back above yesterday's breakout line; new risk range = $542-565
2014/1/16,RT @WSJ: Apple will refund a minimum of $32.5 million to settle complaint over app charges:
2014/1/16,RT @WSJ: Apple will refund a minimum of $32.5 million to settle complaint over app charges:
2014/1/16,RT @WSJ: Apple will refund a minimum of $32.5 million to settle complaint over app charges:
2014/1/16,$AAPL slapped for in-app purchases targeting kids RT @philiped Apple's kiddie app deal stirs controversy at the FTC
2014/1/16,$AAPL Apple Agrees to FTC Terms Over In-App Purchases With $32 Million Settlement - Mac Rumors
2014/1/16,$AAPL scalp paying well to the short term longs..
2014/1/16,RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F --
2014/1/16,$AAPL - [video] Apple: Technicals trump technology -&gt;
2014/1/16,"$AAPL New Apple, China Mobile deal goes beyond iPhones - New York Post"
2014/1/16,"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…"
2014/1/16,"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…"
2014/1/16,This weeks trade on $AAPL
2014/1/16,RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F --
2014/1/16,"$AAPL Apple FaceTime invention uses face morphing, image matching to keep video ... - Apple Insider"
2014/1/16,RT @SeekingAlpha: What's In Store For Apple's App Store?
2014/1/16,$AAPL Apple leads tech rally; 3-D printing stocks fall - MarketWatch
2014/1/16,$BBY thats what you get for being a SAMDUNG whore. should have pushed $AAPL products
2014/1/16,$AAPL Stock Predictions: 13.02% gain in 3 Months |
2014/1/16,RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F --
2014/1/16,RT @firstadopter: Apple's iPhone now represents 42% of smartphones owned in the US - NPD
2014/1/16,"#Apple stock update - $AAPL: $555.56, down -1.80 (-0.32%) on Thu Jan 16 2014 at 15:03:57 EST"
2014/1/16,$AAPL Apple to face iPhone sales challenges in China -
2014/1/19,RT @plungeprotect: $LQMT and $AAPL rumors in Forbes article.  This story continues to gain traction.
2014/1/19,"""..the opportunity for $AAPL w/ $CHL is significant..providing investors w/ a new, long-term growth vector.."" Brian White, Cantor Fitzgerald"
2014/1/19,$AAPL Judaism In Cartoons And iPhone Apps - Forbes
2014/1/20,"@jeffhksar88 @AAPLTree Thanks Confirming - no subsidy options via online $AAPL store for any carrier, same in B&amp;M EXCEPT for $CHL."
2014/1/20,"Correlation the last 3-years of $SPY VS $XLF, $GS, $GOOG, $AAPL"
2014/1/20,"20% of New York City 40,000 grand larcenies involve Apple products. $AAPL"
2014/1/20,"Qardio's health device, a great fit for #Apple store $AAPL"
2014/1/20,$AAPL - Microsoft May Soon Unveil Rival to Apple’s Siri -&gt;
2014/1/21,$AAPL Research: iPad Air Is Keeping Up With Its Smaller Sibling
2014/1/21,"MARKET MAP: Technology 

$QQQ $SPY $OIL $AAPL"
2014/1/21,@CNBCFastMoney $AAPL - Buying more here.
2014/1/21,"3 Stocks To Watch This Week  --  Cree, Starbucks, and Microsoft"
2014/1/21,[12:59 PM] SwatMod: AAPL 550 calls entered at 3.95 now at 5.20 -chat $AAPL $FB $GOOG $GS $TSLA
2014/1/21,RT @manicakes: @Aapl_pain I think it's time to rename the Poor Man's Algo to the Rich Man's Algo. :) $AAPL
2014/1/21,$AAPL FTC focuses on Apple's App Store while ignoring similar issues with Google Play -
